Company: Linux Automation GmbH
PCBA-Name: candleLight.sch
PCBA-Revision: R01
Placement-Version: V02
PCBA-Title: candleLight
Release-State: released
Release-Date: 2021-04-07

count,reference,manufacturer,mpn,value,description,capratedvoltage,fit,footprint,libref,libsource
3.0,"C301, C207, C303",nan,nan,"10uF", ,10V,all,"Capacitors_SMD:C_0805",C,candleLight-rescue:C_Small
7.0,"C203, C204, C205, C206,C208, C402, C403",nan,nan,"100nF", ,10V,all,"Capacitors_SMD:C_0603",C,candleLight-rescue:C_Small
1.0,"D601",Kingbright,"APT1608SGC",LED, ,nan,all,"LEDs:LED_0603",D,candleLight-rescue:LED
1.0,"D602",Kingbright,"APT1608YC",LED, ,nan,all,"LEDs:LED_0603",D,candleLight-rescue:LED
1.0,"D603",Kingbright,"APT1608EC",LED, ,nan,all,"LEDs:LED_0603",D,candleLight-rescue:LED
1.0,U201,ST,STM32F072C8T6,STM32F072C8Tx, ,nan,all,"LQFP48, Housings_QFP:LQFP-48_7x7mm_Pitch0.5mm",U,candleLight-rescue:STM32F072C8Tx
1.0,U301,Microchip,MCP1754ST-3302E/MB,"MCP1754ST-3302E/MB, MCP1754ST-3302E_MB", ,nan,all,"TO_SOT_Packages_SMD:SOT89-3_Housing",U,candleLight-rescue:MCP1754ST-3302E_MB
2.0,"R201, R202",nan,nan,"4K7", ,nan,all,"Resistors_SMD:R_0603",R,candleLight-rescue:R
4.0,"R204, R601, R602, R603",nan,nan,"1K", ,nan,all,"Resistors_SMD:R_0603",R,candleLight-rescue:R
1.0,"R401",nan,nan,"10K", ,nan,all,"Resistors_SMD:R_0603",R,candleLight-rescue:R
1.0,U401,NXP,TJA1051T/3/1J,"TJA1051_3, TJA1051/3", ,nan,all,"Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm",U,candleLight-rescue:TJA1051_3
1.0,P501,Molex,47491-0001,USB_OTG, ,nan,all,"usb:Molex-Micro-USB-B-Middle-Mount",P,candleLight-rescue:USB_OTG
